datetime,variable,value
2022-01-13 11:45:45.266335,Labor Majority,2.25
2022-01-13 11:45:45.266335,Liberal/National Coalition Majority,4.0
2022-01-14 11:45:49.934191,Liberal/National Coalition Majority,3.75
2022-01-14 11:45:49.934191,Labor Minority,4.0
2022-01-14 11:45:49.934191,Liberal/National Coalition Minority,5.0
2022-01-14 11:45:49.934191,Labor Majority,2.0
2022-01-15 11:45:46.184773,Liberal/National Coalition Majority,3.75
2022-01-15 11:45:46.184773,Liberal/National Coalition Minority,5.0
2022-01-15 11:45:46.184773,Labor Minority,4.0
2022-01-15 11:45:46.184773,Labor Majority,2.0
2022-01-16 11:45:44.876088,Liberal/National Coalition Majority,3.75
2022-01-16 11:45:44.876088,Labor Majority,2.0
2022-01-16 11:45:44.876088,Liberal/National Coalition Minority,5.0
2022-01-16 11:45:44.876088,Labor Minority,4.0
2022-01-17 11:45:47.095072,Labor Minority,4.0
2022-01-17 11:45:47.095072,Liberal/National Coalition Minority,5.0
2022-01-17 11:45:47.095072,Liberal/National Coalition Majority,3.75
2022-01-17 11:45:47.095072,Labor Majority,2.0
2022-01-18 11:45:41.870074,Liberal/National Coalition Minority,5.5
2022-01-18 11:45:41.870074,Labor Minority,4.3
2022-01-18 11:45:41.870074,Labor Majority,1.75
2022-01-18 11:45:41.870074,Liberal/National Coalition Majority,4.0
2022-01-18 12:28:56.826430,Liberal/National Coalition Majority,4.00
2022-01-18 12:28:56.826430,Liberal/National Coalition Minority,5.50
2022-01-18 12:28:56.826430,Labor Majority,1.75
2022-01-18 12:28:56.826430,Labor Minority,4.30
