datetime,variable,value
2022-01-13 11:45:45.266335,Labor Majority,2.25
2022-01-13 11:45:45.266335,Liberal/National Coalition Majority,4.0
2022-01-14 11:45:49.934191,Liberal/National Coalition Majority,3.75
2022-01-14 11:45:49.934191,Labor Minority,4.0
2022-01-14 11:45:49.934191,Liberal/National Coalition Minority,5.0
2022-01-14 11:45:49.934191,Labor Majority,2.0
2022-01-15 11:45:46.184773,Liberal/National Coalition Majority,3.75
2022-01-15 11:45:46.184773,Liberal/National Coalition Minority,5.0
2022-01-15 11:45:46.184773,Labor Minority,4.0
2022-01-15 11:45:46.184773,Labor Majority,2.0
2022-01-16 11:45:44.876088,Liberal/National Coalition Majority,3.75
2022-01-16 11:45:44.876088,Labor Majority,2.0
2022-01-16 11:45:44.876088,Liberal/National Coalition Minority,5.0
2022-01-16 11:45:44.876088,Labor Minority,4.0
2022-01-17 11:45:47.095072,Labor Minority,4.0
2022-01-17 11:45:47.095072,Liberal/National Coalition Minority,5.0
2022-01-17 11:45:47.095072,Liberal/National Coalition Majority,3.75
2022-01-17 11:45:47.095072,Labor Majority,2.0
2022-01-18 11:45:41.870074,Liberal/National Coalition Minority,5.5
2022-01-18 11:45:41.870074,Labor Minority,4.3
2022-01-18 11:45:41.870074,Labor Majority,1.75
2022-01-18 11:45:41.870074,Liberal/National Coalition Majority,4.0
2022-01-18 12:28:56.826430,Liberal/National Coalition Majority,4.00
2022-01-18 12:28:56.826430,Liberal/National Coalition Minority,5.50
2022-01-18 12:28:56.826430,Labor Majority,1.75
2022-01-18 12:28:56.826430,Labor Minority,4.30
2022-01-19 11:45:48.411527,Liberal/National Coalition Majority,4.00
2022-01-19 11:45:48.411527,Liberal/National Coalition Minority,5.50
2022-01-19 11:45:48.411527,Labor Majority,1.75
2022-01-19 11:45:48.411527,Labor Minority,4.30
2022-01-20 11:45:43.452747,Liberal/National Coalition Majority,4.25
2022-01-20 11:45:43.452747,Liberal/National Coalition Minority,5.75
2022-01-20 11:45:43.452747,Labor Majority,1.70
2022-01-20 11:45:43.452747,Labor Minority,4.50
2022-01-21 11:45:41.528839,Liberal/National Coalition Majority,4.25
2022-01-21 11:45:41.528839,Liberal/National Coalition Minority,5.75
2022-01-21 11:45:41.528839,Labor Majority,1.70
2022-01-21 11:45:41.528839,Labor Minority,4.50
2022-01-22 11:46:16.081133,Liberal/National Coalition Majority,4.25
2022-01-22 11:46:16.081133,Liberal/National Coalition Minority,5.75
2022-01-22 11:46:16.081133,Labor Majority,1.70
2022-01-22 11:46:16.081133,Labor Minority,4.50
2022-01-23 11:45:44.988378,Liberal/National Coalition Majority,4.25
2022-01-23 11:45:44.988378,Liberal/National Coalition Minority,5.75
2022-01-23 11:45:44.988378,Labor Majority,1.70
2022-01-23 11:45:44.988378,Labor Minority,4.50
2022-01-24 11:45:45.473452,Liberal/National Coalition Majority,4.25
2022-01-24 11:45:45.473452,Liberal/National Coalition Minority,5.75
2022-01-24 11:45:45.473452,Labor Majority,1.70
2022-01-24 11:45:45.473452,Labor Minority,4.50
2022-01-25 11:45:43.905110,Liberal/National Coalition Majority,4.25
2022-01-25 11:45:43.905110,Liberal/National Coalition Minority,5.75
2022-01-25 11:45:43.905110,Labor Majority,1.70
2022-01-25 11:45:43.905110,Labor Minority,4.50
2022-01-26 11:45:38.269411,Liberal/National Coalition Majority,4.25
2022-01-26 11:45:38.269411,Liberal/National Coalition Minority,5.75
2022-01-26 11:45:38.269411,Labor Majority,1.70
2022-01-26 11:45:38.269411,Labor Minority,4.50
2022-01-27 11:45:40.600152,Liberal/National Coalition Majority,4.25
2022-01-27 11:45:40.600152,Liberal/National Coalition Minority,5.75
2022-01-27 11:45:40.600152,Labor Majority,1.70
2022-01-27 11:45:40.600152,Labor Minority,4.50
2022-01-28 11:45:45.851860,Liberal/National Coalition Majority,4.25
2022-01-28 11:45:45.851860,Liberal/National Coalition Minority,5.75
2022-01-28 11:45:45.851860,Labor Majority,1.70
2022-01-28 11:45:45.851860,Labor Minority,4.50
2022-01-29 11:45:40.201272,Liberal/National Coalition Majority,4.25
2022-01-29 11:45:40.201272,Liberal/National Coalition Minority,5.75
2022-01-29 11:45:40.201272,Labor Majority,1.70
2022-01-29 11:45:40.201272,Labor Minority,4.50
2022-01-30 11:45:40.166188,Liberal/National Coalition Majority,4.25
2022-01-30 11:45:40.166188,Liberal/National Coalition Minority,5.75
2022-01-30 11:45:40.166188,Labor Majority,1.70
2022-01-30 11:45:40.166188,Labor Minority,4.50
2022-01-31 11:45:39.795664,Liberal/National Coalition Majority,4.50
2022-01-31 11:45:39.795664,Liberal/National Coalition Minority,5.75
2022-01-31 11:45:39.795664,Labor Majority,1.65
2022-01-31 11:45:39.795664,Labor Minority,4.60
2022-02-01 11:45:44.559769,Liberal/National Coalition Majority,4.50
2022-02-01 11:45:44.559769,Liberal/National Coalition Minority,5.75
2022-02-01 11:45:44.559769,Labor Majority,1.65
2022-02-01 11:45:44.559769,Labor Minority,4.60
